epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3023.17,1.13524,1.2154,1.45986,0.6156,0.58252,0.60936,0.32333,1.36339,1.41558,1.49522,0.000990365,0.000990365,0.000990365
43,3092.1,1.12266,1.202,1.44417,0.77013,0.5093,0.59134,0.30008,1.43752,1.39458,1.51308,0.000973861,0.000973861,0.000973861
44,3161.12,1.11329,1.20223,1.44792,0.64346,0.59722,0.69403,0.37781,1.37405,1.30619,1.46503,0.000957358,0.000957358,0.000957358
45,3229.83,1.1032,1.1339,1.42805,0.53868,0.63987,0.6218,0.34438,1.36066,1.28804,1.42901,0.000940855,0.000940855,0.000940855
46,3298.16,1.10334,1.15129,1.42961,0.60063,0.72257,0.67412,0.40627,1.23853,1.16466,1.36158,0.000924352,0.000924352,0.000924352
47,3366.78,1.09862,1.13785,1.43104,0.62834,0.66748,0.64885,0.40134,1.35712,1.27663,1.51727,0.000907848,0.000907848,0.000907848
48,3438.28,1.07306,1.11798,1.42252,0.51721,0.47141,0.56142,0.33387,1.35117,1.36628,1.46371,0.000891345,0.000891345,0.000891345
49,3510.5,1.06581,1.08659,1.39703,0.69237,0.57516,0.64069,0.37648,1.40443,1.46505,1.46127,0.000874842,0.000874842,0.000874842
50,3582.77,1.08292,1.11443,1.41326,0.71477,0.64178,0.68438,0.38444,1.33606,1.41877,1.42254,0.000858338,0.000858338,0.000858338
51,3654.89,1.04204,1.10632,1.37818,0.50372,0.71895,0.62486,0.36281,1.23233,1.24446,1.39108,0.000841835,0.000841835,0.000841835
52,3726.93,1.06679,1.12592,1.40419,0.62962,0.76716,0.74178,0.43757,1.36972,1.29107,1.48727,0.000825332,0.000825332,0.000825332
53,3799.01,1.05944,1.07493,1.39905,0.61573,0.60281,0.68726,0.38835,1.36582,1.28584,1.46431,0.000808828,0.000808828,0.000808828
54,3871.1,1.03791,1.0711,1.38574,0.54101,0.63399,0.61464,0.33142,1.3793,1.24821,1.43212,0.000792325,0.000792325,0.000792325
55,3943,1.03546,1.03585,1.38733,0.84746,0.55882,0.68003,0.36232,1.3375,1.18158,1.46601,0.000775822,0.000775822,0.000775822
56,4013.96,1.02274,1.06677,1.37325,0.71301,0.46405,0.62495,0.33734,1.3994,1.2754,1.46051,0.000759318,0.000759318,0.000759318
57,4086.02,1.0259,1.00957,1.3747,0.84569,0.57097,0.73399,0.44394,1.32731,1.17585,1.40038,0.000742815,0.000742815,0.000742815
58,4158.68,1.01991,0.99832,1.3679,0.62304,0.60458,0.67844,0.40977,1.34553,1.23502,1.4748,0.000726312,0.000726312,0.000726312
59,4231.73,1.02233,1.01889,1.37961,0.85724,0.56471,0.69676,0.4063,1.28454,1.20341,1.37176,0.000709809,0.000709809,0.000709809
60,4303.82,1.00935,0.98752,1.36561,0.60929,0.71895,0.73012,0.44146,1.29068,1.26914,1.41557,0.000693305,0.000693305,0.000693305
61,4375.7,0.99342,0.97957,1.35132,0.57017,0.67484,0.67972,0.40198,1.2728,1.24279,1.36585,0.000676802,0.000676802,0.000676802
62,4448.38,1.02484,1.00549,1.37332,0.78585,0.54167,0.69349,0.41298,1.28314,1.1286,1.39913,0.000660299,0.000660299,0.000660299
63,4521.02,0.97821,0.98919,1.34885,0.62377,0.69363,0.6688,0.35982,1.33883,1.33117,1.42876,0.000643795,0.000643795,0.000643795
64,4593.23,0.95364,0.93528,1.32743,0.77242,0.78595,0.79653,0.40794,1.3457,1.1948,1.41804,0.000627292,0.000627292,0.000627292
65,4665.4,0.9605,0.92832,1.33129,0.64922,0.81536,0.70373,0.42319,1.2968,1.20833,1.34993,0.000610789,0.000610789,0.000610789
66,4737.36,0.9614,0.91819,1.3229,0.70995,0.70098,0.72525,0.43493,1.39365,1.23327,1.50831,0.000594286,0.000594286,0.000594286
67,4809.59,0.94425,0.94904,1.31887,0.63725,0.75245,0.75831,0.43591,1.38738,1.12553,1.45352,0.000577782,0.000577782,0.000577782
68,4881.22,0.95702,0.91085,1.32781,0.76255,0.74117,0.76405,0.43664,1.32191,1.20994,1.39787,0.000561279,0.000561279,0.000561279
69,4953.03,0.9627,0.94048,1.33325,0.79097,0.59722,0.72447,0.44046,1.29353,1.23309,1.37482,0.000544776,0.000544776,0.000544776
70,5024.92,0.922,0.89461,1.30718,0.83056,0.84693,0.8391,0.49618,1.35534,1.3063,1.42692,0.000528272,0.000528272,0.000528272
71,5097.13,0.94943,0.90518,1.32658,0.76125,0.78595,0.76229,0.46417,1.25022,1.05784,1.40552,0.000511769,0.000511769,0.000511769
72,5169.08,0.90611,0.89863,1.28981,0.74308,0.74183,0.78357,0.47856,1.26489,1.09205,1.35893,0.000495266,0.000495266,0.000495266
73,5241.24,0.93196,0.8826,1.2927,0.69544,0.74918,0.73729,0.42553,1.42195,1.29051,1.49915,0.000478762,0.000478762,0.000478762
74,5313.56,0.91761,0.90314,1.29868,0.72032,0.73039,0.81011,0.50611,1.31261,1.24797,1.39898,0.000462259,0.000462259,0.000462259
75,5386.2,0.91911,0.88746,1.30018,0.6897,0.71569,0.7683,0.44574,1.4704,1.27961,1.58932,0.000445756,0.000445756,0.000445756
76,5458.47,0.88365,0.85676,1.27195,0.70107,0.66748,0.71373,0.4156,1.23173,1.08661,1.3579,0.000429253,0.000429253,0.000429253
77,5530.41,0.90137,0.84542,1.28467,0.73407,0.7646,0.75862,0.45328,1.34119,1.10761,1.46484,0.000412749,0.000412749,0.000412749
78,5602.67,0.88432,0.83174,1.28307,0.71062,0.81944,0.76739,0.45979,1.40216,1.17067,1.4809,0.000396246,0.000396246,0.000396246
79,5675.06,0.86873,0.82168,1.26795,0.73064,0.75688,0.80029,0.44884,1.25709,1.04958,1.3816,0.000379743,0.000379743,0.000379743
80,5746.87,0.8702,0.7837,1.26705,0.73838,0.81209,0.82006,0.4872,1.39446,1.23145,1.45615,0.000363239,0.000363239,0.000363239
81,5818.97,0.88343,0.81717,1.26841,0.74356,0.8268,0.80797,0.47752,1.40692,1.27433,1.46642,0.000346736,0.000346736,0.000346736
82,5890.58,0.84869,0.80145,1.2509,0.78202,0.76919,0.84763,0.50061,1.35753,1.16865,1.46189,0.000330233,0.000330233,0.000330233
83,5962.67,0.86617,0.81589,1.27226,0.75418,0.70098,0.74977,0.43499,1.38319,1.17338,1.49995,0.000313729,0.000313729,0.000313729
84,6034.23,0.87071,0.80784,1.26221,0.85213,0.77124,0.83033,0.48358,1.34403,1.13871,1.44487,0.000297226,0.000297226,0.000297226
85,6106.86,0.84865,0.77216,1.25303,0.85401,0.75654,0.80732,0.44521,1.36225,1.14352,1.46027,0.000280723,0.000280723,0.000280723
86,6178.68,0.83827,0.76106,1.23686,0.82894,0.74918,0.82168,0.47737,1.31923,1.23305,1.41005,0.00026422,0.00026422,0.00026422
87,6250.85,0.84874,0.78096,1.26523,0.75861,0.83415,0.80625,0.46491,1.28305,1.07728,1.37174,0.000247716,0.000247716,0.000247716
88,6323.4,0.83632,0.77218,1.24469,0.85576,0.68863,0.81177,0.47909,1.29826,1.13646,1.41111,0.000231213,0.000231213,0.000231213
89,6395.11,0.82144,0.74187,1.23805,0.88435,0.74928,0.81217,0.47576,1.36743,1.14559,1.47671,0.00021471,0.00021471,0.00021471
90,6467.05,0.82353,0.75413,1.23482,0.85211,0.69344,0.80858,0.45299,1.40494,1.23738,1.47677,0.000198206,0.000198206,0.000198206
91,6557.85,0.68198,0.54804,1.1334,0.71531,0.77124,0.79005,0.45831,1.39603,1.11938,1.50167,0.000181703,0.000181703,0.000181703
92,6629.99,0.67283,0.52502,1.12988,0.77319,0.81874,0.81937,0.48543,1.3728,1.08996,1.52418,0.0001652,0.0001652,0.0001652
93,6701.66,0.65741,0.48608,1.11481,0.85305,0.74371,0.82265,0.48033,1.29894,1.16231,1.4243,0.000148696,0.000148696,0.000148696
94,6773.94,0.62704,0.47588,1.08573,0.68815,0.82664,0.80798,0.51774,1.26675,1.11807,1.40184,0.000132193,0.000132193,0.000132193
95,6846.47,0.61909,0.46494,1.0869,0.79521,0.69732,0.81262,0.50035,1.24177,1.14183,1.38966,0.00011569,0.00011569,0.00011569
96,6916.34,0.62935,0.46031,1.09785,0.80316,0.7479,0.8083,0.50108,1.26592,1.07161,1.4007,9.91865e-05,9.91865e-05,9.91865e-05
97,6984.65,0.61941,0.46644,1.08347,0.77793,0.76389,0.81687,0.5031,1.29808,1.1223,1.43084,8.26832e-05,8.26832e-05,8.26832e-05
98,7052.94,0.60454,0.45216,1.07606,0.69363,0.84806,0.79831,0.47874,1.29223,1.10813,1.42327,6.61799e-05,6.61799e-05,6.61799e-05
99,7121.67,0.5953,0.43634,1.06996,0.74111,0.75654,0.79816,0.49128,1.2962,1.10552,1.43552,4.96766e-05,4.96766e-05,4.96766e-05
100,7193.4,0.60623,0.43243,1.07611,0.69671,0.8235,0.80679,0.49604,1.29725,1.09932,1.4398,3.31733e-05,3.31733e-05,3.31733e-05
